turn,shortened_physio_signals
1,"Physiological Signals: Conductance eases fractionally in the opening minute while pulse, temperature and motion all rise together and the count climbs 9.0 to 64.0; still activity throughout, so the movement increase carries much of this.
PR: 67.0 -> 71.0 bpm, increasing, first minute.
EDA: 0.14 -> 0.13 uS, decreasing, first minute.
ACCEL: 0.006 -> 0.042 g, increasing, first minute.
Stress score: 0 (qualitative label not reported).<EOS>"
2,"EDA: 0.12 -> 0.13 uS, increasing, past 2 minutes.
PR: 65.0 -> 66.0 bpm, increasing, past 2 minutes.
ACCEL: 0.004 -> 0.006 g, increasing, past 2 minutes.
Stress score: 1 (qualitative label not reported).
Physiological Signals: Every channel drifts up by a hair with temperature following, while the class turns still to walking on a low count of 8.0; changes this small are not clearly activity-related either way.<EOS>"
3,"Stress score: 1 (qualitative label not reported).
Physiological Signals: Conductance, pulse and temperature all edge upward across four minutes while motion falls away and the count drops 8.0 to 4.0; with still becoming walking, none of this is activity-driven.
ACCEL: 0.014 -> 0.004 g, decreasing, these 4 minutes.
EDA: 0.12 -> 0.13 uS, increasing, these 4 minutes.
PR: 66.0 -> 67.0 bpm, increasing, these 4 minutes.<EOS>"
4,"Physiological Signals: Temperature and motion rise while conductance and pulse both ease, the count sliding 27.0 to 20.0 as still turns to walking; the movement change is mild, so the picture is only partly activity-related.
EDA: 0.13 -> 0.12 uS, decreasing, this 6-minute window.
Stress score: 1 (qualitative label not reported).
ACCEL: 0.015 -> 0.022 g, increasing, this 6-minute window.
PR: 70.0 -> 68.0 bpm, decreasing, this 6-minute window.<EOS>"
5,"PR: 64.0 -> 80.0 bpm, increasing, over the last 6 minutes.
EDA: steady near 0.12 uS, flat, over the last 6 minutes.
ACCEL: 0.003 -> 0.006 g, increasing, over the last 6 minutes.
Physiological Signals: Pulse jumps sixteen beats while conductance holds flat, temperature eases and motion stays negligible; walking gives way to still on a low count of 16.0, so that rise has no movement behind it.
Stress score: 1 (qualitative label not reported).<EOS>"
6,"Physiological Signals: Conductance and motion tick up from a very low base while pulse is unchanged and temperature falls; walking turns still with the count at 16.0, and nothing here reads as activity-related.
Stress score: 1 (qualitative label not reported).
EDA: 0.11 -> 0.12 uS, increasing, this 6-minute stretch.
PR: steady near 65.0 bpm, flat, this 6-minute stretch.
ACCEL: 0.003 -> 0.008 g, increasing, this 6-minute stretch.<EOS>"
7,"ACCEL: steady near 0.003 g, flat, during these 6 minutes.
PR: 62.0 -> 66.0 bpm, increasing, during these 6 minutes.
EDA: steady near 0.12 uS, flat, during these 6 minutes.
Stress score: 1 (qualitative label not reported).
Physiological Signals: Pulse rises modestly with conductance flat, temperature declining and the activity count at zero; the class moves walking to still, so no movement occurred at all in this window.<EOS>"
8,"Physiological Signals: Pulse drops five beats while conductance stays flat and both temperature and motion decline, the count sitting at zero despite the class changing still to walking; the fall is not activity-related.
EDA: steady near 0.12 uS, flat, preceding 6 minutes.
Stress score: 1 (qualitative label not reported).
PR: 67.0 -> 62.0 bpm, decreasing, preceding 6 minutes.
ACCEL: 0.004 -> 0.003 g, decreasing, preceding 6 minutes.<EOS>"
9,"Stress score: 2 (Mild stress).
PR: 63.0 -> 72.0 bpm, increasing, in this 6-minute span.
EDA: 0.12 -> 0.13 uS, increasing, in this 6-minute span.
ACCEL: 0.005 -> 0.018 g, increasing, in this 6-minute span.
Physiological Signals: Conductance, pulse and motion climb together while temperature eases and the count rises 5.0 to 25.0 as still turns walking; the arousal is at least partly explained by that movement.<EOS>"
10,"Physiological Signals: Everything eases at once - conductance, pulse, temperature and motion - with the count falling 13.0 to 9.0 despite a still-to-walking class change; almost no movement was actually recorded.
EDA: 0.11 -> 0.1 uS, decreasing, through the past 6 minutes.
ACCEL: 0.006 -> 0.005 g, decreasing, through the past 6 minutes.
Stress score: 1 (qualitative label not reported).
PR: 69.0 -> 65.0 bpm, decreasing, through the past 6 minutes.<EOS>"
