timestamp,participant_full_id,user_text,ai_text,AI_Strategy,EDA,PR,SkinTemp,ACCEL,ACT_CLASS,ACT_COUNT,ACT_INT,MET,PRV,RESP,SLEEP,STEPS,WEAR,BODY_POS_LEFT,BODY_POS_RIGHT,ACTI_X,ACTI_Y,ACTI_Z,ACTIG_X,ACTIG_Y,ACTIG_Z
2026-06-26T15:00:00,2753-1-1-0006,"Do you think people can really change themselves, or do they just keep repeating the same habits?","People can definitely change, but lasting change usually comes from changing daily routines rather than waiting for motivation. What's making you think about this today?","Reflective Questioning, Encouragement","[0.57, 0.56]","[90.0, 107.0]","[34.36, 34.41]","[0.009, 0.079]","['still', 'generic']","[11.0, 104.0]","['sedentary', 'MPA']","[1.54, 3.89]","[nan, nan]","[nan, nan]","[0.0, 0.0]","[0.0, 12.0]","[100.0, 100.0]","['sitting_reclining_lying', 'standing']","['miscellaneous', 'standing']","[62.0, 141.0]","[33.0, 188.0]","[24.0, 151.0]","[14.0, 2284.0]","[71.0, 2156.0]","[335.0, 2307.0]"
2026-06-26T15:02:00,2753-1-1-0006,"I feel like I need to disappear for a while. I've wasted so much time, and now everything is piling up together.","That sounds exhausting. When several unfinished responsibilities collect over time, it's natural to want to step away from everything. Sometimes what we really want isn't to escapeâwe want the pressure to become manageable.","Emotional Validation, Reflective Listening","[0.6, 0.58]","[107.0, 100.0]","[34.4, 34.34]","[0.038, 0.017]","['walking', 'walking']","[69.0, 30.0]","['MPA', 'LPA']","[5.26, 2.6]","[nan, nan]","[nan, nan]","[0.0, 0.0]","[0.0, 5.0]","[100.0, 100.0]","['standing', 'sitting_reclining_lying']","['standing', 'miscellaneous']","[80.0, 31.0]","[162.0, 25.0]","[95.0, 22.0]","[734.0, 767.0]","[608.0, 821.0]","[1206.0, 559.0]"
2026-06-26T15:04:00,2753-1-1-0006,"I only have about six weeks left before my internship exams. I haven't practiced DSA properly, I need to finish an AI virtual internship course, and I also have college subjects and resume projects pending.","That's quite a few goals competing for the same time. If you had to protect just one objective first, which one would have the biggest impact on your immediate future?","Clarification, Prioritization","[0.56, 0.58]","[100.0, 99.0]","[34.29, 34.25]","[0.021, 0.008]","['walking', 'walking']","[52.0, 27.0]","['LPA', 'sedentary']","[2.47, 0.95]","[nan, nan]","[nan, nan]","[0.0, 0.0]","[0.0, 0.0]","[100.0, 100.0]","['sitting_reclining_lying', 'sitting_reclining_lying']","['standing', 'standing']","[30.0, 0.0]","[47.0, 0.0]","[38.0, 0.0]","[226.0, 0.0]","[283.0, 13.0]","[619.0, 0.0]"
2026-06-26T15:06:00,2753-1-1-0006,The AI internship. But it's competitive. People who complete the entire program early get selected first.,"That changes the order of priorities. If finishing earlier improves your chances, it makes sense to treat that as your primary goal for now, while keeping the other work moving in smaller blocks.","Problem Solving, Goal Prioritization","[0.58, 0.58]","[100.0, 96.0]","[34.2, 34.17]","[0.008, 0.011]","['walking', 'walking']","[25.0, 37.0]","['sedentary', 'sedentary']","[0.95, 0.95]","[nan, nan]","[nan, nan]","[0.0, 0.0]","[0.0, 0.0]","[100.0, 100.0]","['sitting_reclining_lying', 'sitting_reclining_lying']","['standing', 'standing']","[0.0, 2.0]","[0.0, 12.0]","[0.0, 6.0]","[0.0, 6.0]","[20.0, 131.0]","[7.0, 828.0]"
2026-06-26T15:08:00,2753-1-1-0006,The course itself is almost 140 hours. And it's not just watching videos.,"So you're dealing with much more than passive learning. Besides the videos, what else takes up your time?","Active Listening, Planning","[0.57, 0.48]","[100.0, 96.0]","[34.18, 34.22]","[0.025, 0.004]","['still', 'still']","[26.0, 4.0]","['LPA', 'LPA']","[2.17, 2.78]","[nan, nan]","[nan, nan]","[0.0, 0.0]","[12.0, 3.0]","[100.0, 100.0]","['sitting_reclining_lying', 'sitting_reclining_lying']","['sitting_reclining_lying', 'sitting_reclining_lying']","[30.0, 32.0]","[63.0, 33.0]","[38.0, 27.0]","[888.0, 120.0]","[835.0, 84.0]","[842.0, 234.0]"
2026-06-26T15:10:00,2753-1-1-0006,Every module has reading material and quizzes. I'm also writing detailed notes because I don't want to forget everything later.,"Your intention is good, but detailed note-taking can slow you down a lot. Since speed matters here, try writing only key ideas and important formulas. Let the quizzes tell you what deserves deeper attention instead of trying to record everything.","Learning Strategy, Cognitive Efficiency","[0.57, 0.66]","[101.0, 99.0]","[34.23, 34.21]","[0.025, 0.016]","['generic', 'walking']","[56.0, 33.0]","['sedentary', 'LPA']","[0.97, 2.6]","[nan, nan]","[nan, nan]","[0.0, 0.0]","[7.0, 6.0]","[100.0, 100.0]","['sitting_reclining_lying', 'sitting_reclining_lying']","['standing', 'standing']","[5.0, 13.0]","[79.0, 37.0]","[60.0, 17.0]","[481.0, 127.0]","[515.0, 90.0]","[2065.0, 385.0]"
2026-06-26T15:12:00,2753-1-1-0006,I always wonder... how do people learn something so well that they still remember it years later?,"The biggest difference is usually retrieval, not repetition. People remember knowledge better when they regularly test themselves, revisit it after increasing gaps, and actually use it to solve problems instead of only reading it once.","Educational Guidance, Encouragement","[1.01, 2.21]","[95.0, 94.0]","[34.19, 34.2]","[0.017, 0.113]","['generic', 'generic']","[39.0, 133.0]","['LPA', 'MPA']","[1.79, 4.98]","[nan, nan]","[nan, nan]","[0.0, 0.0]","[0.0, 54.0]","[100.0, 100.0]","['sitting_reclining_lying', 'standing']","['standing', 'standing']","[24.0, 271.0]","[62.0, 399.0]","[36.0, 282.0]","[202.0, 2489.0]","[431.0, 2474.0]","[1178.0, 3203.0]"
2026-06-26T15:14:00,2753-1-1-0006,"When I was preparing for entrance exams, I genuinely wanted to become an engineer who could build amazing things. After entering college, somewhere along the way I started studying only to pass exams.","It sounds like your relationship with learning changed. Earlier, learning was connected to curiosity and ambition. Later, it became connected to deadlines and marks. That shift can quietly drain motivation over time.","Emotional Reflection, Meaning Exploration","[1.98, 1.91]","[97.0, 96.0]","[34.25, 34.28]","[0.05, 0.031]","['generic', 'generic']","[61.0, 93.0]","['MPA', 'sedentary']","[3.19, 1.43]","[nan, nan]","[nan, nan]","[0.0, 0.0]","[7.0, 0.0]","[100.0, 100.0]","['standing', 'sitting_reclining_lying']","['standing', 'standing']","[73.0, 4.0]","[129.0, 114.0]","[91.0, 68.0]","[1009.0, 606.0]","[1017.0, 973.0]","[1891.0, 1816.0]"
2026-06-26T15:16:00,2753-1-1-0006,Exactly. Sometimes I feel like I'm becoming less capable than I used to be.,I hear that concern. But what you've described sounds more like losing direction than losing ability. Those are very different things. Skills can be rebuilt once there's a clear path again.,"Emotional Validation, Strength-Based Reflection","[1.9, 1.97]","[95.0, 95.0]","[34.29, 34.29]","[0.028, 0.009]","['walking', 'walking']","[109.0, 32.0]","['LPA', 'sedentary']","[2.05, 0.95]","[nan, nan]","[nan, nan]","[0.0, 0.0]","[7.0, 0.0]","[100.0, 100.0]","['sitting_reclining_lying', 'sitting_reclining_lying']","['standing', 'standing']","[25.0, 0.0]","[118.0, 15.0]","[76.0, 13.0]","[581.0, 26.0]","[581.0, 89.0]","[1460.0, 129.0]"
2026-06-26T15:18:00,2753-1-1-0006,You've heard all this from me before. Do you actually understand what I'm struggling with?,"From everything you've shared, I see someone who wants to build meaningful technical skills, not just collect certificates. You're frustrated because your actions haven't consistently matched your goals, and now the growing workload makes it feel like time is slipping away faster than you'd hoped.","Reflective Listening, Summarization","[1.93, 1.94]","[95.0, 98.0]","[34.29, 34.32]","[0.019, 0.049]","['generic', 'generic']","[68.0, 68.0]","['sedentary', 'MPA']","[1.4, 4.57]","[nan, nan]","[nan, nan]","[0.0, 0.0]","[0.0, 6.0]","[100.0, 100.0]","['sitting_reclining_lying', 'standing']","['standing', 'standing']","[23.0, 149.0]","[63.0, 162.0]","[44.0, 102.0]","[596.0, 799.0]","[793.0, 1436.0]","[889.0, 2433.0]"
