turn,session_id,strategy,ai_text
1,2753-1-1,Emotional Validation,"That sounds like a heavy burden to carry alone. Sometimes keeping emotions inside makes them feel even bigger. I'm here to listen without judging you, so take your time and tell me whatever feels comfortable."
2,2753-1-1,Clarification,That sounds like a painful conflict between your heart and your mind. Loving someone isn't something we usually choose. What's making this feel so difficult for you?
3,2753-1-1,Emotional Validation,I can understand why that hurts. Knowing the reality doesn't always stop the feelings. Sometimes our heart accepts someone long before our mind can accept the situation.
4,2753-1-1,Reflective Statements,It sounds like you've genuinely tried to protect yourself. Wanting distance doesn't mean you care lessâit often means you're trying to heal from something that keeps hurting.
5,2753-1-1,Clarification,"That can make moving on much harder. Just when you're beginning to create some emotional distance, the connection starts again. It's understandable that you're feeling pulled in two different directions."
6,2753-1-1,Reflective Statements,"Those familiar conversations can make the emotional bond feel just as strong as before. Shared comfort often keeps hope alive, even when the situation itself hasn't changed."
7,2753-1-1,Emotional Validation,Late-night conversations often create a deeper sense of closeness because people tend to be more open and vulnerable. It's natural that those moments have strengthened your emotional attachment.
8,2753-1-1,Clarification,"I can understand why that feels confusing. On one hand, they trust you deeply. On the other, hearing about their relationship can remind you of something your heart wishes were different."
9,2753-1-1,Emotional Validation,That sounds emotionally exhausting. You're trying to be supportive while quietly carrying your own pain. Hiding those feelings for a long time can become very draining.
10,2753-1-1,Clarification,"That's a very understandable question. Even if someone knows you care about them, they may not fully realize how deeply the situation affects you emotionally. What's important is recognizing how it's affecting your own well-being."
11,2753-1-1,Reflective Statements,That shows how emotionally connected you've become. Waiting for one message can slowly turn into depending on it for reassurance. Noticing that pattern is the first step toward breaking it.
12,2753-1-1,Gentle Guidance,"That emotional cycle can be very difficult. The conversations give you comfort for a little while, but afterward they leave you missing something you can't truly have. It's understandable that you're feeling emotionally worn out."
13,2753-1-1,Reflective Statements,"When one person becomes the center of your emotional world, other parts of life can begin to feel less meaningful. That doesn't mean you've lost yourselfâit simply means your heart needs time to reconnect with the rest of your life."
14,2753-1-1,Gentle Guidance,Hope can be one of the hardest emotions to let go of because it quietly tells us that things might change someday. Healing often begins when we gently shift our focus from what we wish would happen to what we know is healthiest for us today.
15,2753-1-1,Encouragement,"No, I don't. Having feelings for someone doesn't make you a bad personâwhat matters is how you choose to act on those feelings. You've been trying to respect their relationship while also understanding your own emotions, and that shows you're approaching this thoughtfully. Keep being kind to yourself as you work through it."
