turn,shortened_physio_signals
1,"EDA: 3.27 -> 3.93 uS, increasing, first minute.
PR: 102.0 -> 98.0 bpm, decreasing, first minute.
ACCEL: 0.025 -> 0.036 g, increasing, first minute.
Stress score: 4 (Moderate stress).
Physiological Signals: Conductance rises then levels off while pulse eases and temperature and motion stay put; walking throughout with counts around 30.0 to 67.0 makes the overall picture broadly activity-related.<EOS>"
2,"Physiological Signals: Conductance jumps late in this two-minute window while pulse drops six beats and motion eases, temperature ticking up; the class turns walking to generic with the count down at 41.0, so that conductance rise is not movement.
Stress score: 4 (Moderate stress).
PR: 100.0 -> 94.0 bpm, decreasing, past 2 minutes.
EDA: 3.6 -> 4.39 uS, increasing, past 2 minutes.
ACCEL: 0.043 -> 0.028 g, decreasing, past 2 minutes.<EOS>"
3,"Stress score: 2 (Mild stress).
EDA: 3.7 -> 3.2 uS, decreasing, these 5 minutes.
PR: 107.0 -> 104.0 bpm, decreasing, these 5 minutes.
ACCEL: 0.037 -> 0.033 g, flat, these 5 minutes.
Physiological Signals: Five minutes of steady readings - conductance declining, pulse parked near 100 bpm, temperature drifting up and motion unchanged; walking activity with counts in the 30s and 40s gives a settled rather than a reactive picture.<EOS>"
4,"Physiological Signals: Conductance and motion both ease while pulse comes down and temperature edges up; generic turns to walking as the count climbs 43.0 to 75.0, so arousal is falling even while movement increases.
ACCEL: 0.054 -> 0.031 g, decreasing, this 6-minute window.
EDA: 3.02 -> 2.93 uS, decreasing, this 6-minute window.
Stress score: 2 (Mild stress).
PR: 102.0 -> 99.0 bpm, decreasing, this 6-minute window.<EOS>"
5,"PR: 102.0 -> 100.0 bpm, flat, over the last 6 minutes.
EDA: 2.73 -> 2.59 uS, decreasing, over the last 6 minutes.
ACCEL: 0.036 -> 0.032 g, flat, over the last 6 minutes.
Stress score: 2 (Mild stress).
Physiological Signals: The slow conductance decline continues with pulse holding near 100 bpm and temperature at its session high; sustained walking and counts around 35.0 to 79.0 mean nothing here separates from ordinary activity.<EOS>"
6,"Physiological Signals: Motion doubles and the count peaks at 110.0 before falling back to 72.0 as walking gives way to generic, while conductance holds flat and temperature is steady; the mid-window pulse bump tracks that movement.
EDA: 2.62 -> 2.61 uS, flat, this 6-minute stretch.
Stress score: 2 (Mild stress).
ACCEL: 0.032 -> 0.064 g, increasing, this 6-minute stretch.
PR: 100.0 -> 102.0 bpm, flat with a mid-window peak at 107.0, this 6-minute stretch.<EOS>"
7,"ACCEL: 0.03 -> 0.093 g, increasing, during these 6 minutes.
EDA: 2.76 -> 2.9 uS, increasing, during these 6 minutes.
PR: 97.0 -> 99.0 bpm, flat, during these 6 minutes.
Physiological Signals: Motion triples and conductance creeps up while pulse holds and temperature eases; walking is sustained and the count doubles to 64.0, so a good share of the rise is activity.
Stress score: 4 (Moderate stress).<EOS>"
8,"Stress score: 2 (Mild stress).
Physiological Signals: Motion keeps climbing and conductance edges up while pulse eases and temperature falls; generic activity with the count moving 76.0 to 96.0 makes this largely a movement story.
PR: 101.0 -> 98.0 bpm, decreasing, preceding 6 minutes.
ACCEL: 0.09 -> 0.123 g, increasing, preceding 6 minutes.
EDA: 2.95 -> 3.04 uS, increasing, preceding 6 minutes.<EOS>"
9,"Physiological Signals: Conductance continues upward while pulse eases, motion stays high and temperature drops; walking turns generic and the count runs 54.0 to 114.0, which accounts for most of what is visible here.
EDA: 3.15 -> 3.43 uS, increasing, in this 6-minute span.
ACCEL: 0.073 -> 0.07 g, flat, in this 6-minute span.
PR: 102.0 -> 99.0 bpm, decreasing, in this 6-minute span.
Stress score: 2 (Mild stress).<EOS>"
10,"EDA: 4.02 -> 3.94 uS, flat with a mid-window peak at 4.13, through the past 6 minutes.
PR: 98.0 -> 94.0 bpm, decreasing, through the past 6 minutes.
Stress score: 4 (Moderate stress).
ACCEL: 0.035 -> 0.011 g, decreasing, through the past 6 minutes.
Physiological Signals: Conductance reaches its session high just as motion drops to almost nothing and pulse falls; generic activity with the count halving from 48.0 to 25.0 leaves this arousal without any movement explanation.<EOS>"
11,"Physiological Signals: Conductance and pulse both ease while motion stays low and temperature edges up; generic turns to walking on a low-to-moderate count of 33.0 to 37.0, so the raised stress score sits without a movement explanation behind it.
Stress score: 4 (Moderate stress).
ACCEL: 0.033 -> 0.024 g, decreasing, over these 6 minutes.
PR: 98.0 -> 96.0 bpm, decreasing, over these 6 minutes.
EDA: 3.6 -> 3.43 uS, decreasing, over these 6 minutes.<EOS>"
12,"PR: steady near 94.0 bpm, flat, final 6 minutes.
EDA: steady near 3.37 uS, flat, final 6 minutes.
ACCEL: steady near 0.05 g, flat, final 6 minutes.
Physiological Signals: The closing window carries only single aggregated values, every channel flat including temperature; generic activity with a moderate count of 59.0 describes a settled state.
Stress score: 2 (Mild stress).<EOS>"
