timestamp,participant_full_id,user_text,ai_text,AI_Strategy,EDA,PR,SkinTemp,ACCEL,ACT_CLASS,ACT_COUNT,ACT_INT,MET,PRV,RESP,SLEEP,STEPS,WEAR,BODY_POS_LEFT,BODY_POS_RIGHT,ACTI_X,ACTI_Y,ACTI_Z,ACTIG_X,ACTIG_Y,ACTIG_Z
2026-07-17T20:00:00–2026-07-17T20:03:00,2753-1-1-0000,Something really unfortunate happened in our area yesterday.,It sounds like the incident affected you deeply. I'm here to listen. What happened?,Clarification,"[0.39, 0.6, 0.78]","[107.0, 103.0, 108.0]","[33.64, 33.72, 33.76]","[0.04, 0.122, 0.025]","['walking', 'generic', 'walking']","[103.0, 130.0, 113.0]","['LPA', 'MPA', 'sedentary']","[2.67, 4.17, 0.95]","[nan, nan, nan]","[nan, nan, nan]","[0.0, 0.0, 0.0]","[0.0, 30.0, 0.0]","[100.0, 100.0, 100.0]","['standing', 'standing', 'standing']","['sitting_reclining_lying', 'standing', 'sitting_reclining_lying']","[24.0, 107.0, 11.0]","[36.0, 246.0, 27.0]","[13.0, 167.0, 7.0]","[189.0, 3362.0, 38.0]","[363.0, 2687.0, 118.0]","[571.0, 3896.0, 254.0]"
2026-07-17T20:03:00–2026-07-17T20:06:00,2753-1-1-0000,A family we know very well went through a terrible situation.,"That sounds very upsetting. When something painful happens to people we care about, it can affect us almost as if it happened to our own family.",Emotional Validation,"[0.88, 1.05, 1.21]","[102.0, 105.0, 111.0]","[33.8, 33.8, 33.82]","[0.041, 0.057, 0.063]","['generic', 'walking', 'generic']","[105.0, 106.0, 116.0]","['sedentary', 'MPA', 'MPA']","[1.53, 3.07, 3.84]","[nan, nan, nan]","[nan, nan, nan]","[0.0, 0.0, 0.0]","[6.0, 6.0, 0.0]","[100.0, 100.0, 100.0]","['standing', 'standing', 'standing']","['sitting_reclining_lying', 'standing', 'standing']","[38.0, 50.0, 68.0]","[104.0, 102.0, 137.0]","[72.0, 81.0, 83.0]","[942.0, 1550.0, 1751.0]","[703.0, 833.0, 1201.0]","[1604.0, 1002.0, 1450.0]"
2026-07-17T20:06:00–2026-07-17T20:09:00,2753-1-1-0000,"They live very close to our house, and we've known them for many years.","That explains why you're feeling so affected. Close neighbors often become like extended family, so seeing them suffer can be deeply painful.",Reflective Statements,"[1.34, 1.65, 1.71]","[102.0, 105.0, 104.0]","[33.84, 33.85, 33.88]","[0.097, 0.038, 0.031]","['generic', 'generic', 'generic']","[119.0, 84.0, 89.0]","['MPA', 'LPA', 'sedentary']","[3.95, 2.49, 1.37]","[nan, nan, nan]","[nan, nan, nan]","[0.0, 0.0, 0.0]","[24.0, 0.0, 6.0]","[100.0, 100.0, 100.0]","['standing', 'standing', 'standing']","['standing', 'sitting_reclining_lying', 'sitting_reclining_lying']","[85.0, 34.0, 21.0]","[191.0, 35.0, 45.0]","[132.0, 24.0, 30.0]","[3127.0, 321.0, 544.0]","[2156.0, 331.0, 344.0]","[2528.0, 462.0, 459.0]"
2026-07-17T20:09:00–2026-07-17T20:12:00,2753-1-1-0000,Everything happened so suddenly. Nobody expected it.,Sudden events can be especially shocking because our minds don't get time to prepare. It's understandable that you're still trying to process everything.,Emotional Validation,"[1.77, 1.94, 2.9]","[103.0, 104.0, 102.0]","[33.91, 33.94, 33.91]","[0.05, 0.069, 0.05]","['generic', 'walking', 'walking']","[126.0, 109.0, 89.0]","['LPA', 'MPA', 'LPA']","[2.44, 3.36, 2.5]","[nan, nan, nan]","[nan, nan, nan]","[0.0, 0.0, 0.0]","[5.0, 5.0, 0.0]","[100.0, 100.0, 100.0]","['standing', 'standing', 'miscellaneous']","['sitting_reclining_lying', 'standing', 'sitting_reclining_lying']","[38.0, 62.0, 62.0]","[96.0, 91.0, 79.0]","[72.0, 74.0, 30.0]","[935.0, 1004.0, 1323.0]","[910.0, 784.0, 753.0]","[1442.0, 1044.0, 767.0]"
2026-07-17T20:12:00–2026-07-17T20:15:00,2753-1-1-0000,They had been preparing for a big family celebration for months.,"That makes the situation even harder to accept. When people are looking forward to a joyful occasion, having something painful interrupt it can feel incredibly unfair.",Active Listening,"[2.82, 2.48, 2.4]","[104.0, 109.0, 101.0]","[33.97, 34.03, 34.07]","[0.093, 0.039, 0.037]","['generic', 'generic', 'generic']","[112.0, 97.0, 117.0]","['MPA', 'sedentary', 'LPA']","[4.1, 1.54, 1.92]","[nan, nan, nan]","[nan, nan, nan]","[0.0, 0.0, 0.0]","[14.0, 0.0, 11.0]","[100.0, 100.0, 100.0]","['standing', 'standing', 'standing']","['standing', 'sitting_reclining_lying', 'sitting_reclining_lying']","[69.0, 39.0, 24.0]","[164.0, 62.0, 54.0]","[100.0, 50.0, 48.0]","[2998.0, 1256.0, 395.0]","[2052.0, 439.0, 782.0]","[1704.0, 1470.0, 823.0]"
2026-07-17T20:15:00–2026-07-17T20:18:00,2753-1-1-0000,Their daughter was so happy about everything just a few days ago.,Seeing someone's happiness suddenly turn into sadness can be heartbreaking. It's natural that those memories are staying with you.,Reflective Statements,"[2.5, 2.44, 2.49]","[109.0, 105.0, 109.0]","[34.09, 34.08, 34.07]","[0.079, 0.074, 0.042]","['generic', 'walking', 'generic']","[124.0, 130.0, 122.0]","['LPA', 'MPA', 'sedentary']","[2.83, 3.76, 1.52]","[nan, nan, nan]","[nan, nan, nan]","[0.0, 0.0, 0.0]","[5.0, 7.0, 0.0]","[100.0, 100.0, 100.0]","['standing', 'standing', 'standing']","['sitting_reclining_lying', 'standing', 'sitting_reclining_lying']","[80.0, 42.0, 40.0]","[138.0, 79.0, 73.0]","[98.0, 31.0, 63.0]","[2901.0, 1480.0, 739.0]","[1617.0, 892.0, 571.0]","[1719.0, 933.0, 1183.0]"
2026-07-17T20:18:00–2026-07-17T20:21:00,2753-1-1-0000,"When I met her yesterday, she couldn't stop crying.",That must have been very difficult to witness. Seeing a close friend cry can make their pain feel much more real and can leave us feeling helpless too.,Emotional Validation,"[2.49, 2.64, 3.05]","[105.0, 103.0, 98.0]","[34.06, 34.06, 34.09]","[0.036, 0.07, 0.029]","['generic', 'generic', 'walking']","[120.0, 79.0, 36.0]","['LPA', 'LPA', 'sedentary']","[1.72, 2.94, 1.51]","[nan, nan, nan]","[nan, nan, nan]","[0.0, 0.0, 0.0]","[5.0, 12.0, 7.0]","[100.0, 100.0, 100.0]","['standing', 'miscellaneous', 'miscellaneous']","['sitting_reclining_lying', 'sitting_reclining_lying', 'sitting_reclining_lying']","[25.0, 79.0, 17.0]","[70.0, 161.0, 54.0]","[36.0, 94.0, 37.0]","[295.0, 2167.0, 575.0]","[376.0, 2040.0, 417.0]","[338.0, 2130.0, 830.0]"
2026-07-17T20:21:00–2026-07-17T20:24:00,2753-1-1-0000,My family and I stayed with them for several hours.,"That was a compassionate thing to do. During painful moments, having supportive people nearby can bring comfort, even when the situation itself cannot be changed.",Strength-Based Reflection,"[3.05, 3.52, 3.71]","[98.0, 95.0, 100.0]","[34.16, 34.24, 34.3]","[0.067, 0.01, 0.035]","['walking', 'still', 'walking']","[57.0, 11.0, 39.0]","['LPA', 'sedentary', 'LPA']","[2.45, 1.13, 2.64]","[nan, nan, nan]","[nan, nan, nan]","[0.0, 0.0, 0.0]","[18.0, 0.0, 0.0]","[100.0, 100.0, 100.0]","['sitting_reclining_lying', 'standing', 'standing']","['sitting_reclining_lying', 'sitting_reclining_lying', 'sitting_reclining_lying']","[66.0, 9.0, 25.0]","[150.0, 8.0, 44.0]","[107.0, 21.0, 67.0]","[1496.0, 51.0, 653.0]","[1115.0, 22.0, 494.0]","[2310.0, 313.0, 629.0]"
2026-07-17T20:24:00–2026-07-17T20:27:00,2753-1-1-0000,We didn't return home until very late at night.,"That must have been emotionally exhausting. Supporting others during a crisis often takes a lot out of us too, especially when we care deeply about them.",Reflective Statements,"[3.41, 3.29, 3.23]","[107.0, 98.0, 95.0]","[34.37, 34.44, 34.47]","[0.025, 0.053, 0.022]","['walking', 'walking', 'still']","[50.0, 44.0, 15.0]","['LPA', 'LPA', 'LPA']","[1.87, 2.5, 2.3]","[nan, nan, nan]","[nan, nan, nan]","[0.0, 0.0, 0.0]","[5.0, 6.0, 0.0]","[100.0, 100.0, 100.0]","['standing', 'sitting_reclining_lying', 'sitting_reclining_lying']","['sitting_reclining_lying', 'sitting_reclining_lying', 'sitting_reclining_lying']","[17.0, 54.0, 15.0]","[40.0, 143.0, 48.0]","[41.0, 105.0, 30.0]","[514.0, 1315.0, 268.0]","[649.0, 880.0, 320.0]","[545.0, 1432.0, 879.0]"
2026-07-17T20:27:00–2026-07-17T20:30:00,2753-1-1-0000,"I still had work the next morning, so I couldn't get enough rest.",That sounds incredibly tiring. You were carrying emotional stress while also trying to fulfill your responsibilities. It's important to give yourself permission to rest whenever you can because difficult experiences affect us more than we sometimes realize.,Stress Management,"[2.95, 3.15, 3.39]","[96.0, 98.0, 105.0]","[34.49, 34.51, 34.54]","[0.058, 0.073, 0.048]","['generic', 'generic', 'generic']","[81.0, 44.0, 58.0]","['LPA', 'MPA', 'MPA']","[2.57, 5.58, 3.17]","[nan, nan, nan]","[nan, nan, nan]","[0.0, 0.0, 0.0]","[13.0, 6.0, 5.0]","[100.0, 100.0, 100.0]","['sitting_reclining_lying', 'standing', 'standing']","['sitting_reclining_lying', 'standing', 'standing']","[80.0, 49.0, 30.0]","[190.0, 128.0, 113.0]","[123.0, 102.0, 103.0]","[1341.0, 1042.0, 1400.0]","[1000.0, 998.0, 1266.0]","[2198.0, 1977.0, 2123.0]"
