turn,shortened_physio_signals
1,"Physiological Signals: Conductance sits at the floor of its range through the opening minute while pulse eases and motion is negligible, temperature rising slightly; still activity with the count down to 3.0 describes a body at rest.
PR: 83.0 -> 81.0 bpm, decreasing, first minute.
EDA: steady near 0.01 uS, flat, first minute.
ACCEL: 0.007 -> 0.003 g, decreasing, first minute.
Stress score: 1 (qualitative label not reported).<EOS>"
2,"EDA: 0.01 -> 0.0 uS, flat, past 2 minutes.
PR: 82.0 -> 81.0 bpm, decreasing, past 2 minutes.
ACCEL: 0.001 -> 0.002 g, flat, past 2 minutes.
Stress score: 1 (qualitative label not reported).
Physiological Signals: Two minutes with conductance pinned at zero, pulse drifting down, temperature climbing and motion barely registering; still activity and a count back at 1.0 rule out any physical exertion.<EOS>"
3,"Stress score: 0 (qualitative label not reported).
Physiological Signals: Motion doubles across these five minutes and the count runs 36.0 to 74.0, yet conductance stays at zero and pulse does not move; the class remains still, so movement rose without anything following it.
ACCEL: 0.019 -> 0.04 g, increasing, these 5 minutes.
EDA: steady near 0.0 uS, flat, these 5 minutes.
PR: 79.0 -> 80.0 bpm, flat, these 5 minutes.<EOS>"
4,"Physiological Signals: A brief movement spike sends the count to 65.0 before it drops back to 8.0, while conductance holds at the floor, pulse eases steadily and temperature rises; still activity throughout leaves no lasting trace of that burst.
PR: 81.0 -> 78.0 bpm, decreasing, this 6-minute window.
Stress score: 1 (qualitative label not reported).
ACCEL: 0.003 -> 0.005 g, flat with a mid-window peak at 0.027, this 6-minute window.
EDA: steady near 0.01 uS, flat, this 6-minute window.<EOS>"
5,"PR: 81.0 -> 77.0 bpm, decreasing, over the last 6 minutes.
EDA: steady near 0.01 uS, flat, over the last 6 minutes.
ACCEL: steady near 0.011 g, flat, over the last 6 minutes.
Physiological Signals: Pulse falls to the mid-seventies while conductance, temperature and motion are unchanged; still activity with a low count of 15.0 means the mild stress score has no physical marker beside it.
Stress score: 3 (Mild stress).<EOS>"
6,"Physiological Signals: Pulse keeps easing and conductance stays at the floor with motion near zero and temperature rising; still activity and counts in single figures make this a resting window.
Stress score: 1 (qualitative label not reported).
EDA: 0.02 -> 0.01 uS, flat, this 6-minute stretch.
ACCEL: 0.002 -> 0.004 g, flat, this 6-minute stretch.
PR: 82.0 -> 78.0 bpm, decreasing, this 6-minute stretch.<EOS>"
7,"ACCEL: steady near 0.001 g, flat, during these 6 minutes.
EDA: steady near 0.02 uS, flat, during these 6 minutes.
PR: 82.0 -> 80.0 bpm, decreasing, during these 6 minutes.
Stress score: 3 (Mild stress).
Physiological Signals: Motion and count both sit at zero for the whole window with conductance at the floor, pulse easing and temperature flat; still activity records no movement at all here.<EOS>"
8,"Physiological Signals: Motion falls away to nothing as the count drops 27.0 to 0.0, while conductance holds at the floor, pulse barely shifts and temperature declines; still activity throughout gives a settled reading.
EDA: 0.02 -> 0.01 uS, flat, preceding 6 minutes.
Stress score: 2 (Mild stress).
ACCEL: 0.012 -> 0.001 g, decreasing, preceding 6 minutes.
PR: 80.0 -> 79.0 bpm, flat, preceding 6 minutes.<EOS>"
9,"PR: 82.0 -> 85.0 bpm, increasing, in this 6-minute span.
EDA: steady near 0.02 uS, flat, in this 6-minute span.
Stress score: 1 (qualitative label not reported).
ACCEL: 0.001 -> 0.002 g, flat, in this 6-minute span.
Physiological Signals: Pulse climbs three beats while conductance is at the floor, temperature flat and both motion and count at zero; with still activity, even that small rise has nothing physical behind it.<EOS>"
10,"Physiological Signals: Motion climbs from nothing to 0.06 g and the count reaches 65.0 as still turns generic, taking pulse up ten beats with it; conductance stays at the floor and temperature eases, so the cardiac change is movement.
ACCEL: 0.002 -> 0.06 g, increasing, through the past 6 minutes.
PR: 84.0 -> 94.0 bpm, increasing, through the past 6 minutes.
EDA: steady near 0.02 uS, flat, through the past 6 minutes.
Stress score: 2 (Mild stress).<EOS>"
