turn,session_id,timestamp,EDA_uS,PR_bpm,SkinTemp_degC,ACCEL_g,ACT_COUNT,ACT_CLASS,stress_score,stress_level
1,2753-1-1,2026-07-27T11:30:00,0.01 -> 0.0,75.0 -> 80.0 -> 79.0,34.49 -> 34.5,0.033 -> 0.081 -> 0.036,127.0 -> 134.0 -> 139.0,The participant stayed generic for the duration of the first minute.,-2,not reported
2,2753-1-1,2026-07-27T11:33:00,0.0,79.0 -> 80.0 -> 76.0,34.5 -> 34.51 -> 34.53,0.079 -> 0.028,139.0 -> 123.0 -> 86.0,"Activity classification showed no change over the past 3 minutes, staying generic.",0,not reported
3,2753-1-1,2026-07-27T11:36:00,0.0 -> 0.01,81.0 -> 72.0 -> 70.0,34.52 -> 34.49 -> 34.51,0.027 -> 0.011 -> 0.025,127.0 -> 47.0 -> 66.0,"Throughout the past 6 minutes, the recorded activity class stayed generic.",0,not reported
4,2753-1-1,2026-07-27T11:39:00,0.01 -> 0.0,80.0 -> 85.0 -> 88.0,34.51 -> 34.46 -> 34.41,0.025 -> 0.068 -> 0.051,128.0 -> 143.0 -> 137.0,Consistent generic classification was recorded across the past 6 minutes.,-2,not reported
5,2753-1-1,2026-07-27T11:42:00,0.01,92.0 -> 90.0 -> 93.0,34.36 -> 34.31 -> 34.26,0.081 -> 0.073 -> 0.074,139.0 -> 144.0,Activity type persisted as generic through the past 6 minutes.,2,Mild stress
6,2753-1-1,2026-07-27T11:45:00,0.0 -> 0.01,93.0 -> 91.0 -> 94.0,34.22 -> 34.2 -> 34.24,0.067 -> 0.05 -> 0.066,153.0 -> 145.0 -> 147.0,"For the past 6 minutes, the participant's activity did not shift from generic.",0,not reported
7,2753-1-1,2026-07-27T11:48:00,0.0,87.0 -> 82.0 -> 83.0,34.25 -> 34.24 -> 34.28,0.112 -> 0.065 -> 0.089,146.0 -> 153.0 -> 143.0,"Throughout the past 6 minutes, the recorded activity class stayed generic.",-2,not reported
8,2753-1-1,2026-07-27T11:51:00,0.0,83.0 -> 79.0 -> 76.0,34.32 -> 34.34 -> 34.38,0.075 -> 0.033 -> 0.014,144.0 -> 104.0 -> 32.0,Activity remained categorized as generic over the past 6 minutes.,0,not reported
9,2753-1-1,2026-07-27T11:54:00,0.0 -> 0.01,75.0 -> 74.0 -> 76.0,34.41 -> 34.42,0.002 -> 0.005 -> 0.032,1.0 -> 10.0 -> 104.0,"Over the past 6 minutes, a shift from generic to still was recorded.",-2,not reported
10,2753-1-1,2026-07-27T11:57:00,0.0 -> 0.01,77.0 -> 78.0,34.43 -> 34.44 -> 34.46,0.04 -> 0.048 -> 0.054,139.0 -> 121.0 -> 144.0,"During the past 6 minutes, movement classification changed from generic to generic.",0,not reported
11,2753-1-1,2026-07-27T12:00:00,0.01,76.0 -> 80.0,34.5 -> 34.52 -> 34.53,0.073 -> 0.11 -> 0.065,142.0 -> 141.0 -> 148.0,Activity type moved from still to walking across the past 6 minutes.,0,not reported
12,2753-1-1,2026-07-27T12:03:00,0.01 -> 0.0,77.0,34.52 -> 34.51,0.062 -> 0.068 -> 0.051,146.0 -> 143.0 -> 139.0,"Over the past 6 minutes, a shift from generic to generic was recorded.",-2,not reported
13,2753-1-1,2026-07-27T12:06:00,0.01,76.0 -> 78.0 -> 73.0,34.49 -> 34.51,0.008 -> 0.004,45.0 -> 15.0 -> 9.0,"Across the past 6 minutes, the participant's classification changed: walking to still.",1,not reported
14,2753-1-1,2026-07-27T12:09:00,0.01,76.0 -> 74.0,34.54 -> 34.6,0.003 -> 0.013 -> 0.002,3.0 -> 20.0 -> 0.0,Activity classification shifted from generic to still during the past 6 minutes.,1,not reported
15,2753-1-1,2026-07-27T12:12:00,0.01,75.0 -> 76.0 -> 78.0,34.6 -> 34.59 -> 34.58,0.002 -> 0.003 -> 0.004,3.0 -> 11.0 -> 8.0,"Activity classification showed no change over the past 6 minutes, staying still.",2,Mild stress
16,2753-1-1,2026-07-27T12:15:00,0.01,79.0 -> 77.0,34.58 -> 34.57,0.005 -> 0.006,12.0 -> 18.0,Activity remained categorized as still over the past 6 minutes.,1,not reported
17,2753-1-1,2026-07-27T12:18:00,0.0 -> 0.01,90.0 -> 85.0 -> 83.0,34.58 -> 34.62 -> 34.68,0.014 -> 0.009 -> 0.007,42.0 -> 39.0 -> 30.0,"A change in activity was noted over the past 6 minutes, moving from still to walking.",0,not reported
18,2753-1-1,2026-07-27T12:21:00,0.01,83.0 -> 84.0,34.71 -> 34.72 -> 34.74,0.006 -> 0.008 -> 0.019,16.0 -> 19.0 -> 42.0,A shift occurred over the past 6 minutes: activity went from still to still.,0,not reported
19,2753-1-1,2026-07-27T12:24:00,0.0 -> 0.01,80.0 -> 77.0 -> 78.0,34.75 -> 34.81 -> 34.88,0.007 -> 0.004,31.0 -> 6.0 -> 8.0,Activity classification shifted from walking to still during the past 6 minutes.,3,Mild stress
20,2753-1-1,2026-07-27T12:27:00,0.01,78.0 -> 80.0,34.96 -> 35.03 -> 35.08,0.003 -> 0.006 -> 0.012,3.0 -> 22.0 -> 64.0,Activity level held steady at still across the past 6 minutes.,0,not reported
21,2753-1-1,2026-07-27T12:30:00,0.01,79.0,35.13,0.024,88.0,The recorded state shifted from still to walking over the past 6 minutes.,2,Mild stress
