turn,session_id,timestamp,EDA_uS,PR_bpm,SkinTemp_degC,ACCEL_g,ACT_COUNT,ACT_CLASS,stress_score,stress_level
1,2753-1-1,2026-05-04T19:33:00,4.13 -> 3.99 -> 4.24,101.0 -> 92.0 -> 90.0,32.23 -> 32.32 -> 32.44,0.099 -> 0.03 -> 0.013,90.0 -> 37.0 -> 16.0,Activity level held steady at still across the first minute.,5,Moderate stress
2,2753-1-1,2026-05-04T19:35:00,4.51 -> 4.11 -> 4.16,89.0 -> 88.0,32.6 -> 32.76 -> 32.94,0.028 -> 0.019 -> 0.014,27.0 -> 29.0 -> 9.0,"Over the past 2 minutes, activity type was consistently classified as still.",3,Mild stress
3,2753-1-1,2026-05-04T19:38:00,4.08 -> 4.35 -> 4.38,92.0 -> 87.0 -> 89.0,33.05 -> 33.19 -> 33.34,0.024 -> 0.037 -> 0.012,36.0 -> 101.0 -> 30.0,"During the past 5 minutes, activity moved away from still, becoming generic.",2,Mild stress
4,2753-1-1,2026-05-04T19:41:00,4.0 -> 4.06,89.0 -> 94.0,33.44 -> 33.57,0.01 -> 0.02,33.0 -> 44.0,"Across the past 6 minutes, the participant's classification changed: still to generic.",2,Mild stress
5,2753-1-1,2026-05-04T19:43:00,3.96 -> 3.59 -> 3.28,88.0 -> 91.0,33.73 -> 33.79 -> 33.84,0.046 -> 0.03 -> 0.069,36.0 -> 22.0 -> 56.0,"Over the past 6 minutes, generic activity was sustained without interruption.",2,Mild stress
6,2753-1-1,2026-05-04T19:46:00,2.98 -> 2.99 -> 3.53,91.0 -> 92.0 -> 83.0,33.87 -> 33.91 -> 33.99,0.032 -> 0.026 -> 0.065,46.0 -> 52.0 -> 94.0,"Throughout the past 6 minutes, the recorded activity class stayed generic.",-2,not reported
7,2753-1-1,2026-05-04T19:49:00,4.83 -> 4.42,89.0 -> 80.0,33.83 -> 34.08,0.011 -> 0.01,34.0 -> 25.0,Activity type moved from generic to still across the past 6 minutes.,2,Mild stress
8,2753-1-1,2026-05-04T19:51:00,3.67 -> 3.65 -> 4.02,91.0 -> 90.0 -> 80.0,34.2 -> 34.24 -> 34.29,0.039 -> 0.067 -> 0.047,63.0 -> 101.0 -> 85.0,"Over the past 6 minutes, the participant's activity changed from generic to generic.",2,Mild stress
9,2753-1-1,2026-05-04T19:54:00,4.31 -> 3.97,94.0 -> 90.0 -> 89.0,34.27 -> 34.22 -> 34.23,0.03 -> 0.019 -> 0.076,37.0 -> 98.0,A transition from still to generic occurred within the past 6 minutes.,-2,not reported
10,2753-1-1,2026-05-04T19:57:00,3.55 -> 3.38,93.0 -> 101.0,34.23 -> 34.22,0.052 -> 0.072,135.0 -> 101.0,"Over the past 6 minutes, activity type was consistently classified as generic.",0,not reported
11,2753-1-1,2026-05-04T20:00:00,3.75,94.0,34.18,0.031,55.0,"For the past 6 minutes, the participant's activity did not shift from generic.",2,Mild stress
