turn,strategy,response
1,Emotional Validation,"That's a quietly painful thing to notice about someone you care for - that you seem to matter most when there's a gap to fill. Wondering where you actually stand in someone's life is exhausting, and it isn't a petty thing to want an answer to. Your body has been settling this last minute, with your movement dropping right off, yet there are still clear signs of strain sitting underneath it. Something is staying switched on while the rest of you winds down."
2,Clarification,"So the pattern has a shape to it: something goes wrong for them, and you're who they turn to. That would deepen anyone's attachment, because being trusted in someone's worst moments feels like closeness. The tension has eased slightly as you've explained it, though it's still holding at a level your stillness doesn't account for - you've barely moved in the last couple of minutes. What are those calls usually like for you afterwards?"
3,Empathetic Statements,"And then the calls stop when things are good, which is the part that really stings. Being needed in the bad times and unnecessary in the good ones tells you something about the shape of the connection, even if nobody has said it out loud. I notice the tension drifted up while you told me that, and it wasn't the moving about - your movement rose in the middle of that stretch and came back down without the tension following it. The words did that, not the walking."
4,Affirmation,"Not wanting someone to feel alone is a genuinely good instinct, and it says something real about you. I'd only gently note that the same instinct currently runs in one direction. There's a small lift in your signals as you said it, though that mostly tracks you starting to move again rather than the sentiment itself. Being kind doesn't have to mean being permanently available - the care still counts if it has limits."
5,Provide Different Perspectives,"Being told you're the only one who understands them is a powerful thing to hear, and I understand why it stays with you. Another way to read it is that it describes what you provide, rather than what they intend to offer back. Interestingly, the tension has been falling steadily while you described it, even though you've been moving more - that phrase seems to soothe you. Which is exactly why it's worth holding it and the reality apart: both can be true at once."
6,Reframe Negative Thoughts,"It's easy to read that as proof of something special, and in a sense it is - but I'd be careful about what it proves. Telling you what they don't tell their partner says a lot about where they feel safe, and very little about what they plan to do. Your body actually settled over these minutes even as you moved about more, so nothing here is alarming you physically; the difficulty is in what the fact means, not in how it feels to say. Being someone's safest place is real closeness - it just isn't the same as being chosen."
7,Clarification,"That's a fair question to sit with, and I don't think you're being cynical for asking it. Your signals have come down as you've said it, with the tension easing and almost no movement behind the change, so this reads as something you've turned over for a while rather than a fresh wound. The way to an answer is usually the pattern rather than any single conversation. Over the last few months, how often have they reached out when nothing was wrong?"
8,Reflective Statements,"So the flow is almost entirely one way - you hold their difficulties, and yours stay unspoken. That imbalance is easy to miss while it's happening, because each individual conversation feels normal; it's only when you add them up that the shape shows. Your body eased noticeably while you described it, even with your movement picking up. You've made peace with the arrangement more than you've questioned it, and that's part of what keeps it in place."
9,Emotional Validation,"That fear is understandable, and it's telling in itself. If you're worried they'd leave once you stopped being useful, some part of you has already read the balance of this relationship. Being scared of that isn't weakness - it's you noticing something painful to notice. Your signals eased while you said it, with the moving about explaining what did change, so this seems like a settled belief you've held for a while rather than a passing worry. You deserve to be kept around for who you are, not for what you absorb."
10,Normalize Experiences,"A lot of people find themselves in exactly this role, and they describe it the way you just did: less like a friend, more like a support function. It tends to happen gradually to whoever is best at listening, so it isn't a sign you did something wrong. One thing I notice is that your signals have lifted while your movement has actually come down - so that isn't the walking. Naming this out loud is doing something to you, which usually means it's close to the truth."
11,Share Information,"There's a fairly reliable test, and it's worth applying honestly. Watch four things over the next month: who starts the conversation when nothing is wrong; whether they ask about your life without you raising it; whether they stay once they feel better; and whether they remember what you told them last time. If the answer to most is no, that's your answer - not because they're a bad person, but because it tells you what this will reliably give you. Your readings are completely level as we finish, everything flat, which is a good state to be in for deciding something rather than reacting to it."
