turn,session_id,user_text,physio_signals
1,2753-1-1,Sometimes I feel like I'm only important when they need someone.,"During the first minute, physiological arousal (EDA and PR and SkinTemp and ACCEL) shifted; given still movement and reclining/lying posture, this appears not explained by movement. Despite little to no movement recorded, EDA and PR and SkinTemp and ACCEL climbed noticeably - this decoupling from activity strengthens the case for a stress-driven response. Over the first minute, physical motion remained dropping, staying close to 0.01 g. Also, Heart rate drifted dropping across the first minute to 90.0 bpm, without any notable peaks or valleys. Additionally, Skin temperature increasing moderately over the first minute, moving from 32.23 to 32.44 degC. Meanwhile, Across the first minute, electrodermal activity showed a increasing pattern, settling around 4.24 uS. Meanwhile, Activity level held steady at still across the first minute. In parallel, Factoring in an activity count of 16.0, the composite indicator over the first minute reads 5, suggesting Moderate stress."
2,2753-1-1,"Whenever they have a fight with their partner, they call me.","During the past 2 minutes, EDA and PR and SkinTemp and ACCEL shifted; movement counts and MET (~2.17) suggest this is not explained by movement. Movement stayed minimal while EDA and PR and SkinTemp and ACCEL rose, pointing toward a stress response rather than exertion. Accelerometer readings moved sharply and declining through the past 2 minutes, ending at 0.01 g. Also, Pulse rate moved sharply in a dropping direction over the past 2 minutes, from 101.0 to 89.0 bpm. Additionally, Temperature readings moved sharply and climbing through the past 2 minutes, ending at 32.94 degC. On top of that, A increasing EDA pattern was observed over the past 2 minutes, mildly fluctuating, reaching 4.16 uS. Meanwhile, Over the past 2 minutes, activity type was consistently classified as still. Simultaneously, Movement count of 9.0 contributes to a combined stress score of 3 over the past 2 minutes, consistent with Mild stress."
3,2753-1-1,"But when everything is fine between them, they almost disappear.","During the past 5 minutes, the participant was awake alongside generic movement, EDA and PR and SkinTemp and ACCEL shifted, not explained by movement. Despite little to no movement recorded, EDA and PR and SkinTemp and ACCEL climbed noticeably - this decoupling from activity strengthens the case for a stress-driven response. Meanwhile, A declining movement pattern was observed over the past 5 minutes, highly fluctuating, reaching 0.01 g. Across the past 5 minutes, pulse rate held downward, staying close to 89.0 bpm. Additionally, Over the past 5 minutes, peripheral temperature stayed increasing, around 33.34 degC. In parallel, Across the past 5 minutes, EDA trended increasing from 4.13 to 4.38 uS. During the past 5 minutes, activity moved away from still, becoming generic. Further, With activity count at 30.0, the composite stress score for the past 5 minutes is 2, indicating Mild stress."
4,2753-1-1,I never say no because I don't want them to feel alone.,"Across the past 6 minutes, EDA and PR and SkinTemp and ACCEL shifted; posture stayed reclining/lying throughout, not explained by movement. Movement stayed minimal while EDA and PR and SkinTemp and ACCEL rose, pointing toward a stress response rather than exertion. Additionally, Skin temperature showed a growing pattern across the past 6 minutes, with highly fluctuating change, now 33.57 degC. Simultaneously, EDA held easing through the past 6 minutes, close to 4.06 uS. Additionally, During the past 6 minutes, heart rate registered a growing shift to 94.0 bpm, without any notable peaks or valleys. At the same time, Body movement moved slightly in a decreasing direction over the past 6 minutes, from 0.03 to 0.02 g. Meanwhile, Across the past 6 minutes, the participant's classification changed: still to generic. Further, Combining the signals above with an activity count of 44.0, the resulting score over the past 6 minutes is 2 - Mild stress."
5,2753-1-1,Sometimes they say I'm the only one who understands them.,"Across the past 6 minutes, EDA and PR and SkinTemp and ACCEL shifted while the participant was awake, not clearly linked to physical activity. The relationship between EDA and PR and SkinTemp and ACCEL and movement was inconsistent over the past 6 minutes, making the source of change unclear. In parallel, Overall movement (accelerometer) upward sharply over the past 6 minutes, moving from 0.02 to 0.07 g. Notably, Across the past 6 minutes, EDA trended downward from 4.08 to 3.28 uS. Alongside this, During the past 6 minutes, skin temperature registered a upward shift to 33.84 degC, showing a single sustained rise with no reversal. Further, A declining pulse rate pattern emerged over the past 6 minutes, mildly fluctuating, reaching 91.0 bpm. Further, Over the past 6 minutes, generic activity was sustained without interruption. Additionally, Over the past 6 minutes, with activity count at 56.0, the composite score reaches 2, classified as Mild stress."
6,2753-1-1,They tell me things they don't even tell their partner.,"Over the past 6 minutes, EDA and PR and SkinTemp and ACCEL shifted, while movement remained generic (LPA intensity), suggesting the change is not clearly linked to physical activity. Neither EDA and PR and SkinTemp and ACCEL nor movement showed a notable change, so no clear stress or activity signal is present here. Simultaneously, During the past 6 minutes, movement registered a growing shift to 0.07 g, without any notable peaks or valleys. Meanwhile, During the past 6 minutes, heart rate registered a downward shift to 83.0 bpm, without any notable peaks or valleys. In parallel, Temperature readings moved moderately and growing through the past 6 minutes, ending at 33.99 degC. Meanwhile, Skin conductance drifted downward across the past 6 minutes to 3.53 uS, without any notable peaks or valleys. Notably, Throughout the past 6 minutes, the recorded activity class stayed generic."
7,2753-1-1,I don't know if they really need me or if I'm just convenient.,"Across the past 6 minutes, EDA and PR and SkinTemp and ACCEL shifted while the participant was awake, not explained by movement. EDA and PR and SkinTemp and ACCEL increased even as the body stayed still, a pattern more consistent with emotional than physical arousal. In parallel, The motion signal was falling for the past 6 minutes, highly fluctuating, around 0.01 g. On top of that, Over the past 6 minutes, heart rate stayed downward around 80.0 beats per minute. On top of that, Over the past 6 minutes, electrodermal activity moved moderately in a upward direction, from 3.96 to 4.42 uS. Also, Surface temperature increasing moderately over the past 6 minutes, now 34.08 degC, without any notable peaks or valleys. Alongside this, Activity type moved from generic to still across the past 6 minutes. In parallel, The stress score for the past 6 minutes is 2 (activity count: 25.0), pointing to Mild stress."
8,2753-1-1,"I always listen to their problems, but I rarely talk about mine.","Across the past 6 minutes, EDA and PR and SkinTemp and ACCEL showed a shifted pattern, occurring while the participant was generic and positioned reclining/lying, likely activity-related. EDA and PR and SkinTemp and ACCEL rose in step with heightened motion, indicating the signal is at least partly explained by movement rather than stress alone. In parallel, The sympathetic arousal marker (EDA) increasing sharply over the past 6 minutes, now 4.02 uS. At the same time, Heart rate drifted easing across the past 6 minutes to 80.0 bpm, without any notable peaks or valleys. Simultaneously, Skin temperature showed a upward pattern across the past 6 minutes, with mildly fluctuating change, now 34.29 degC. Simultaneously, Across the past 6 minutes, overall motion trended upward from 0.03 to 0.05 g. At the same time, Over the past 6 minutes, the participant's activity changed from generic to generic. In parallel, With activity count at 85.0, the composite stress score for the past 6 minutes is 2, indicating Mild stress."
9,2753-1-1,"I'm scared that if I stop helping, they'll leave.","During the past 6 minutes, EDA and PR and SkinTemp and ACCEL shifted while activity intensity stayed LPA, not clearly linked to physical activity. Neither EDA and PR and SkinTemp and ACCEL nor movement showed a notable change, so no clear stress or activity signal is present here. Notably, Movement levels drifted rising across the past 6 minutes to 0.08 g, without any notable peaks or valleys. In parallel, Over the past 6 minutes, electrodermal activity dropping sharply, moving from 4.83 to 3.97 uS. Further, The temperature signal was elevating for the past 6 minutes, mildly fluctuating, around 34.23 degC. At the same time, Across the past 6 minutes, pulse rate held decreasing, staying close to 89.0 bpm. At the same time, A transition from still to generic occurred within the past 6 minutes."
10,2753-1-1,Sometimes I feel more like their emotional support than their friend.,"During the past 6 minutes, the participant was awake alongside generic movement, EDA and PR and SkinTemp and ACCEL shifted, likely activity-related. EDA and PR and SkinTemp and ACCEL rose alongside increased movement, so the change is likely activity-related rather than a pure stress response. On top of that, The pulse signal was rising for the past 6 minutes, highly fluctuating, around 101.0 bpm. Additionally, Overall movement (accelerometer) increasing sharply over the past 6 minutes, moving from 0.04 to 0.07 g. Simultaneously, A decreasing EDA pattern was observed over the past 6 minutes, highly fluctuating, reaching 3.38 uS. At the same time, Across the past 6 minutes, peripheral temperature trended rising from 34.2 to 34.22 degC. Further, Over the past 6 minutes, activity type was consistently classified as generic."
