turn,session_id,strategy,ai_text
1,2753-1-1,Emotional Validation,That sounds painful. Feeling valued only during someone else's difficult moments can leave you questioning your place in their life. It's understandable that you're wondering whether the connection is balanced.
2,2753-1-1,Clarification,"I can see why that feels confusing. During those moments, you become the person they lean on emotionally. It's natural that this would make your feelings grow even stronger."
3,2753-1-1,Emotional Validation,"That kind of pattern can be deeply hurtful. It may leave you feeling as though your presence is only needed during difficult times, rather than being consistently valued."
4,2753-1-1,Reflective Statements,"That shows how much you care about them. At the same time, always putting their emotional needs first can slowly make you forget to care for your own."
5,2753-1-1,Clarification,"Hearing that can make anyone feel deeply connected. It's understandable that those words give you hope. At the same time, it's worth asking whether their actions consistently match what they say."
6,2753-1-1,Reflective Statements,That level of trust can feel very special. But emotional closeness doesn't always mean someone is able or willing to offer the kind of relationship you hope for. That difference can be very painful.
7,2753-1-1,Clarification,"That's a difficult question to sit with. When someone mainly reaches out during hard times, it's natural to wonder whether you're being appreciated or simply relied upon. Your feelings deserve that same care in return."
8,2753-1-1,Reflective Statements,"It sounds like you've become the listener in the relationship. When one person is always supporting and rarely supported, the connection can start to feel emotionally one-sided."
9,2753-1-1,Gentle Guidance,"That fear makes sense because you've linked your value to always being there for them. But a healthy friendship shouldn't depend on you constantly carrying the emotional weight. You deserve to be appreciated for who you are, not just for what you provide."
10,2753-1-1,Reflective Statements,"That realization can be painful, but it's an important one. Being someone's support is kind, yet it shouldn't come at the cost of your own emotional well-being. A healthy friendship makes space for both people to feel heard and cared for."
11,2753-1-1,Gentle Guidance,"A helpful question to ask yourself is whether they stay connected even when they don't need anything from you. If most conversations happen only during their difficult moments, it's worth paying attention to that pattern. Relationships feel healthiest when care, support, and effort flow in both directions."
