turn,session_id,strategy,ai_text
1,2753-1-1,Emotional Validation,"That sounds really difficult. Sometimes, when one person takes up so much space in our heart, we slowly lose touch with ourselves. The fact that you've noticed this is an important first step."
2,2753-1-1,Clarification,"That shows how deeply they've become part of your daily life. When someone is connected to so many memories, it's natural for your mind to bring them up often. It doesn't mean these thoughts will stay this strong forever."
3,2753-1-1,Reflective Statements,"That can feel exhausting. Your body may be present with your friends, but emotionally you're still carrying this connection. It's understandable that you're finding it hard to enjoy the moment."
4,2753-1-1,Emotional Validation,"It sounds like your emotional energy has been focused on one person for a long time. When that happens, other parts of life can begin to feel less meaningful. That doesn't mean you've permanently lost those interestsâthey may simply need time and attention to return."
5,2753-1-1,Clarification,Waiting like that can slowly become an emotional habit. It shows how much your peace has become connected to their attention. Recognizing this pattern gives you the chance to slowly reclaim your time for yourself.
6,2753-1-1,Reflective Statements,"It sounds like your emotions have become closely tied to theirs. Caring deeply about someone can do that, but it can also leave you feeling emotionally exhausted. Your own feelings deserve space too."
7,2753-1-1,Emotional Validation,That uncertainty can happen when you've spent so much time focusing on someone else's life that your own needs become harder to hear. It doesn't mean you've lost yourself foreverâit may simply be time to reconnect with what matters to you.
8,2753-1-1,Gentle Guidance,"You don't have to become a different personâyou only need to reconnect with the person you were before this situation took over your thoughts. Start with one small habit that belongs only to you, whether it's studying, exercising, reading, or spending time with friends. Small steps can slowly rebuild your sense of self."
9,2753-1-1,Reflective Statements,"That fear is understandable, especially when you've been carrying these feelings for a long time. But emotions aren't permanent, even when they feel overwhelming. Healing usually happens so gradually that we often don't notice it until we look back."
10,nan,Encouragement,"I believe you can. Right now, your heart is carrying more than it was meant to carry, and that's made you feel disconnected from yourself. Be patient with the process, and remember that every small choice you make for your own well-being is a step toward finding yourself again."
