turn,session_id,strategy,ai_text
1,2753-1-1,Emotional Validation,"I'm sorry you're feeling this way. It sounds like you're carrying something that's making it hard to see a way forward right now. Feeling stuck often comes from facing uncertainty or too many emotions at once. If you'd like, tell me what's been happening, and we'll work through it together one step at a time."
2,2753-1-1,Clarification,"That's completely okay. Sometimes connections don't fit into clear labels, and that uncertainty itself can be confusing. You don't need to decide what to call it right now. Just tell me what happened, and we'll understand it together without judging or rushing to define it."
3,2753-1-1,Emotional Validation,"That sounds like a painful place to be. It's natural to develop feelings for someone, even when the situation is complicated. You may be feeling torn between what your heart wants and what you know is real. Take your time with these emotions, and try not to let them push you into decisions you might regret."
4,2753-1-1,Emotional Validation,"That sounds emotionally confusing. It seems like every time you try to move on, their actions make it difficult to let go, which can keep your feelings alive. It's understandable that you're feeling stuck between wanting distance and being pulled back in. It may help to notice whether their actions match the kind of relationship you truly want."
5,2753-1-1,Gentle Reflection,"That sounds really difficult. When someone you care about continues to stay in touch, it's natural for your feelings to become stronger, especially if you still have hope. It seems like you're caught between protecting your heart and wanting to stay connected. Ask yourself whether these interactions bring you peace or make it harder to move forward."
6,2753-1-1,Emotional Validation,"That makes a lot of sense. When a strong friendship already exists, romantic feelings can grow even deeper because of the trust and comfort you shared. It sounds like you're grieving both your feelings and the possibility of losing someone who has been important in your life."
7,2753-1-1,Reflective Statements,"That explains why your feelings grew so deeply. Spending so much time together naturally creates a strong emotional bond. Sometimes, it's not only the person we miss, but also the closeness and connection we shared with them."
8,2753-1-1,Emotional Validation,"I can understand why you're confused. When the same pattern repeats, it's hard to know what it really means or how you should respond. Looking at the pattern instead of individual moments may help you understand the situation more clearly."
9,2753-1-1,Emotional Validation,"That thought can be very painful. It sounds like you're questioning whether the care you receive is genuine or only there when they need something. Pay attention to the overall pattern of their actions, because your feelings and needs matter too."
10,2753-1-1,Clarification,"I can understand why that hurts. When someone knows your feelings but continues to stay emotionally close while remaining with their partner, it can create confusing mixed signals. Whatever their reasons, it's important to think about whether this situation is helping you grow or keeping you emotionally stuck."
11,2753-1-1,Reflective Statements,"It sounds like you invested a lot of your time and energy into supporting them. When you've consistently been there for someone, it's natural to hope that your care would be valued in return. Looking back now, it's understandable that you're questioning whether the relationship was truly balanced."
12,2753-1-1,Emotional Validation,"That sounds very painful. Seeing someone you care about share that closeness with their partner can deeply hurt, especially when your feelings are still strong. It's okay to admit that this situation is affecting you, because your emotions deserve care too."
13,2753-1-1,Gentle Guidance,"From everything you've shared, this connection seems to be bringing you more confusion than peace. You can't control their choices, but you can protect your own emotional well-being. If staying close keeps reopening the same wound, creating some distance may be the kindest choice you can make for yourself."
14,2753-1-1,Gentle Guidance,"You don't have to control your feelingsâyou only need to control what you do with them. Accept that your emotions are real, but don't let them decide every action you take. Healing is gradual, and every small step you take toward your own well-being will help."
15,2753-1-1,Gentle Guidance,"I'm sorry you're going through this. Strong emotions can make it difficult to focus because your mind keeps returning to the same thoughts. Instead of forcing yourself to study for hours, begin with short, focused sessions. Small progress each day is enough while you're healing."
16,2753-1-1,Encouragement,"You're welcome. Thank you for trusting me with something so personal. Your feelings are real, and it's okay that healing is taking time. Be kind to yourself, keep taking small steps forward, and remember that you deserve a relationship where your care, effort, and feelings are returned with the same honesty and clarity."
