turn,session_id,user_text,physio_signals
1,2753-1-1,"Actually, I am stuck in a situation.","Over the first minute, physiological signals (EDA and PR and SkinTemp and ACCEL) shifted, with activity remaining generic - likely activity-related. The rise in EDA and PR and SkinTemp and ACCEL coincided with elevated ACT_COUNT, making it difficult to separate physical exertion from emotional stress. Further, Across the first minute, pulse rate held downward, staying close to 94.0 bpm. On top of that, Skin conductance drifted elevating across the first minute to 2.09 uS, showing a single sustained rise with no reversal. Alongside this, Skin temperature showed a dropping pattern across the first minute, with smooth change, now 33.28 degC. Further, Over the first minute, physical activity intensity dropping slightly, now near 0.03 g. Simultaneously, Activity classification showed no change over the first minute, staying generic. Simultaneously, Combining the signals above with an activity count of 99.0, the resulting score over the first minute is 2 - Mild stress."
2,2753-1-1,What I'm about to tell you is about something that I don't know if I should even call a relationship.,"Overall physiological readings appeared flat over the past 1 minute, reflecting averaged rather than fine-grained data; the pattern is likely activity-related. Meanwhile, No notable change in motion (0.16 g) was detected over the past 1 minute; the source data was coarse. In parallel, Pulse rate stayed at a comparable level (100.0 bpm) over the past 1 minute, based on limited resolution data. Further, Skin conductance showed no notable change over the past 1 minute, staying around 1.74 uS; the underlying data was coarse. Notably, Temperature appeared flat over the past 1 minute, holding near 33.28 degC; this reflects an averaged reading rather than fine detail. At the same time, The participant stayed generic for the duration of the past 1 minute. Simultaneously, Factoring in an activity count of 114.0, the composite indicator over the past 1 minute reads 2, suggesting Mild stress."
3,2753-1-1,I like someone who is already with someone else.,"Across the past 2 minutes, the available signals showed no notable change, though resolution was limited; taken together, this appears not explained by movement. On top of that, Pulse rate stayed close to 94.0 bpm through the past 2 minutes, though only a coarse reading was available. Simultaneously, Electrodermal activity remained at a similar level (2.94 uS) across the past 2 minutes, based on limited resolution data. Additionally, Skin temperature held at a similar level (33.23 degC) across the past 2 minutes, based on limited resolution data. At the same time, Accelerometer output appeared flat over the past 2 minutes, holding near 0.03 g, reflecting an averaged reading. Notably, Activity remained categorized as generic over the past 2 minutes. Additionally, With activity count at 79.0, the composite stress score for the past 2 minutes is 4, indicating Moderate stress."
4,2753-1-1,"I try to keep my distance from that person, but they always find a way to reconnect with me.","Over the past 4 minutes, physiological data held near constant values sourced from aggregated readings, appearing likely activity-related. Over the past 4 minutes, pulse rate held near a constant value (89.0 bpm) from a single aggregated point. Notably, Over the past 4 minutes, EDA held near a constant value (5.18 uS), derived from a single aggregated reading. Notably, Temperature appeared flat over the past 4 minutes, holding near 33.18 degC; this reflects an averaged reading rather than fine detail. Alongside this, Over the past 4 minutes, movement intensity stayed near a constant value (0.05 g) from a single aggregated point. Notably, Consistent generic classification was recorded across the past 4 minutes. Also, Combining the signals above with an activity count of 64.0, the resulting score over the past 4 minutes is 2 - Mild stress."
5,2753-1-1,"That person knows I like them. Even after everything, they still call me, and I can't stop myself from going back.","Across the past 5 minutes, the available signals showed no notable change, though resolution was limited; taken together, this appears not explained by movement. At the same time, Pulse rate stayed at a comparable level (89.0 bpm) over the past 5 minutes, based on limited resolution data. Additionally, Skin conductance showed no notable change over the past 5 minutes, staying around 6.3 uS; the underlying data was coarse. Also, Motion levels stayed close to 0.02 g through the past 5 minutes, though only a coarse reading was available. In parallel, Skin temperature stayed close to 33.2 degC through the past 5 minutes, though only a coarse reading was available. In parallel, Activity level held steady at generic across the past 5 minutes. Simultaneously, Over the past 5 minutes, with activity count at 43.0, the composite score reaches 2, classified as Mild stress."
6,2753-1-1,My feelings became stronger because we were very good friends before all of this.,"Over the past 6 minutes, physiological data held near constant values sourced from aggregated readings, appearing not explained by movement. No notable pulse rate change was detected over the past 6 minutes; pulse rate held near 89.0 bpm, and the source data was coarse. On top of that, EDA appeared flat over the past 6 minutes, holding near 7.45 uS; this reflects an averaged reading rather than fine-grained detail. Additionally, No notable change in motion (0.02 g) was detected over the past 6 minutes; the source data was coarse. Meanwhile, No notable skin temperature shift was detected over the past 6 minutes; temperature held near 33.19 degC, and the data was coarse. Simultaneously, Over the past 6 minutes, a shift from generic to still was recorded. At the same time, The stress score for the past 6 minutes is 2 (activity count: 31.0), pointing to Mild stress."
7,2753-1-1,"We spent a lot of time together, and that's how my feelings became stronger.","Given the coarse resolution over the past 6 minutes, signals held broadly steady; the combined pattern reads as not explained by movement. In parallel, Over the past 6 minutes, EDA held near a constant value (7.79 uS), derived from a single aggregated reading. At the same time, Movement intensity held at a similar level (0.01 g) across the past 6 minutes, based on limited resolution data. Additionally, Over the past 6 minutes, pulse rate held near a constant value (92.0 bpm) from a single aggregated point. In parallel, Skin temperature stayed close to 33.18 degC through the past 6 minutes, though only a coarse reading was available. Further, During the past 6 minutes, movement classification changed from generic to still. Movement count of 16.0 contributes to a combined stress score of 5 over the past 6 minutes, consistent with Moderate stress."
8,2753-1-1,"The same thing keeps happening, and that's why I'm confused about it.","Over the past 6 minutes, physiological data held near constant values sourced from aggregated readings, appearing not explained by movement. Additionally, Skin conductance showed no notable change over the past 6 minutes, staying around 9.28 uS; the underlying data was coarse. Further, Accelerometer output appeared flat over the past 6 minutes, holding near 0.01 g, reflecting an averaged reading. On top of that, Pulse rate stayed at a comparable level (92.0 bpm) over the past 6 minutes, based on limited resolution data. At the same time, Over the past 6 minutes, skin temperature stayed near a constant value (33.16 degC) from a single aggregated point. Notably, Over the past 6 minutes, a shift from generic to still was recorded. Alongside this, With activity count at 11.0, the composite stress score for the past 6 minutes is 5, indicating Moderate stress."
9,2753-1-1,I think that person is only with me because it benefits them.,"Given the coarse resolution over the past 6 minutes, signals held broadly steady; the combined pattern reads as not explained by movement. Additionally, EDA appeared flat over the past 6 minutes, holding near 10.85 uS; this reflects an averaged reading rather than fine-grained detail. Over the past 6 minutes, movement intensity stayed near a constant value (0.01 g) from a single aggregated point. Alongside this, No notable pulse rate change was detected over the past 6 minutes; pulse rate held near 91.0 bpm, and the source data was coarse. Meanwhile, No notable skin temperature shift was detected over the past 6 minutes; temperature held near 33.33 degC, and the data was coarse. Simultaneously, During the past 6 minutes, movement classification changed from generic to still. Further, The stress score for the past 6 minutes is 5 (activity count: 14.0), pointing to Moderate stress."
10,2753-1-1,"Because they know everything about how I feel, why do they still try to balance their relationship with their partner and their connection with me?","Over the past 6 minutes, physiological data held near constant values sourced from aggregated readings, appearing not explained by movement. Additionally, Over the past 6 minutes, skin temperature stayed near a constant value (33.7 degC) from a single aggregated point. Further, Over the past 6 minutes, EDA held near a constant value (10.97 uS), derived from a single aggregated reading. In parallel, Pulse rate stayed close to 93.0 bpm through the past 6 minutes, though only a coarse reading was available. Also, No notable change in motion (0.01 g) was detected over the past 6 minutes; the source data was coarse. Meanwhile, Activity level held steady at still across the past 6 minutes. Alongside this, Movement count of 34.0 contributes to a combined stress score of 4 over the past 6 minutes, consistent with Moderate stress."
